Method,LOC,V,v(G),MI
org.apache.commons.configuration2.BaseConfigurationXMLReader.getConfiguration(),9,4,1,74.83405332
org.apache.commons.configuration2.BaseConfigurationXMLReader.getParsedConfiguration(),10,4,1,73.83590106
org.apache.commons.configuration2.BaseConfigurationXMLReader.processKeys(),13,31,1,65.12344266
org.apache.commons.configuration2.BaseConfigurationXMLReader.setConfiguration(Configuration),9,8,1,72.72623733
org.apache.commons.configuration2.BaseHierarchicalConfiguration.BaseHierarchicalConfiguration(),7,8,1,75.10711086
org.apache.commons.configuration2.BaseHierarchicalConfiguration.BaseHierarchicalConfiguration(HierarchicalConfiguration<ImmutableNode>),13,11,1,68.27413157
org.apache.commons.configuration2.BaseHierarchicalConfiguration.BaseHierarchicalConfiguration(NodeModel<ImmutableNode>),11,15,1,68.91358803
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.BuilderVisitor.insertNewChildNodes(ImmutableNode,ReferenceNodeHandler)",56,374,10,42.50477922
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.BuilderVisitor.updateNode(ImmutableNode,ReferenceNodeHandler)",16,43,2,62.02679655
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.BuilderVisitor.visitBeforeChildren(ImmutableNode,NodeHandler<ImmutableNode>)",7,25,1,71.6421645
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.InterpolatedVisitor(),7,4,1,77.21492685
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.getInterpolatedRoot(),10,4,1,73.83590106
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.handleLeafNode(ImmutableNode,NodeHandler<ImmutableNode>)",24,138,3,54.50515134
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.interpolateAttributes(ImmutableNode,NodeHandler<ImmutableNode>)",14,22,1,65.46424006
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.interpolateAttributes(ImmutableNode,NodeHandler<ImmutableNode>,Map<String, Object>)",27,116,3,53.91741157
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.isLeafNode(ImmutableNode,NodeHandler<ImmutableNode>)",13,19,1,66.61212732
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.peek(),9,11,1,71.75784002
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.pop(),9,11,1,71.75784002
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.push(Builder),9,15,1,70.81467883
org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.storeInterpolatedNode(ImmutableNode),18,36,2,61.45127429
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.valueChanged(Object,Object)",11,15,1,68.91358803
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.visitAfterChildren(ImmutableNode,NodeHandler<ImmutableNode>)",10,38,2,66.8553646
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.InterpolatedVisitor.visitBeforeChildren(ImmutableNode,NodeHandler<ImmutableNode>)",20,129,2,56.57199571
org.apache.commons.configuration2.BaseHierarchicalConfiguration.childConfigurationsAt(String),33,148,3,51.27548168
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.childConfigurationsAt(String,boolean)",18,59,2,59.9489958
