Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilderFileBased,291,"3,842"
org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilderFileBased.ConstantConfigurationBuilder,19,60
org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilderFileBased.ReloadThread,45,380
org.apache.commons.configuration2.builder.combined.TestReloadingMultiFileConfigurationBuilder,142,"1,555"
org.apache.commons.configuration2.builder.combined.TestReloadingMultiFileConfigurationBuilder.ReloadingMultiFileConfigurationBuilderTestImpl,51,153
org.apache.commons.configuration2.builder.fluent.Configurations,571,"1,469"
org.apache.commons.configuration2.builder.fluent.Parameters,260,957
org.apache.commons.configuration2.builder.fluent.Parameters.ParametersIfcInvocationHandler,51,180
org.apache.commons.configuration2.builder.fluent.TestConfigurations,451,"3,191"
org.apache.commons.configuration2.builder.fluent.TestParameters,375,"3,826"
org.apache.commons.configuration2.convert.AbstractListDelimiterHandler,168,853
org.apache.commons.configuration2.convert.DefaultConversionHandler,366,"2,149"
org.apache.commons.configuration2.convert.DefaultListDelimiterHandler,167,994
org.apache.commons.configuration2.convert.DisabledListDelimiterHandler,63,113
org.apache.commons.configuration2.convert.LegacyListDelimiterHandler,240,"1,765"
org.apache.commons.configuration2.convert.PropertyConverter,832,"8,476"
org.apache.commons.configuration2.convert.TestDefaultConversionHandler,312,"3,211"
org.apache.commons.configuration2.convert.TestDefaultListDelimiterHandler,163,"1,062"
org.apache.commons.configuration2.convert.TestDisabledListDelimiterHandler,175,"1,404"
org.apache.commons.configuration2.convert.TestPropertyConverter,251,"1,672"
org.apache.commons.configuration2.event.AbstractEventListenerTestImpl,79,439
org.apache.commons.configuration2.event.AbstractTestConfigurationEvents,151,"1,165"
org.apache.commons.configuration2.event.BaseEventSource,308,"1,326"
org.apache.commons.configuration2.event.ConfigurationErrorEvent,135,322
org.apache.commons.configuration2.event.ConfigurationEvent,180,508
org.apache.commons.configuration2.event.ErrorListenerTestImpl,38,151
org.apache.commons.configuration2.event.Event,93,420
org.apache.commons.configuration2.event.EventListenerList,255,"1,868"
org.apache.commons.configuration2.event.EventListenerList.EventListenerIterator,129,671
org.apache.commons.configuration2.event.EventListenerRegistrationData,98,440
org.apache.commons.configuration2.event.EventListenerTestImpl,35,147
org.apache.commons.configuration2.event.EventType,126,411
org.apache.commons.configuration2.event.TestConfigurationEventTypes,222,"1,075"
org.apache.commons.configuration2.event.TestDatabaseConfigurationEvents,35,121
org.apache.commons.configuration2.event.TestEvent,34,124
org.apache.commons.configuration2.event.TestEventListenerList,449,"5,388"
org.apache.commons.configuration2.event.TestEventListenerList.EventBase,21,97
org.apache.commons.configuration2.event.TestEventListenerList.EventSub1,12,70
org.apache.commons.configuration2.event.TestEventListenerList.EventSub2,12,70
org.apache.commons.configuration2.event.TestEventListenerList.ListenerTestImpl,42,208
org.apache.commons.configuration2.event.TestEventSource,300,"3,829"
org.apache.commons.configuration2.event.TestEventSource.CountingEventSource,29,180
org.apache.commons.configuration2.event.TestEventType,23,74
org.apache.commons.configuration2.event.TestHierarchicalConfigurationEvents,110,952
org.apache.commons.configuration2.event.TestMapConfigurationEvents,12,18
org.apache.commons.configuration2.event.TestPropertiesConfigurationEvents,14,15
org.apache.commons.configuration2.event.TestSubsetConfigurationEvents,12,26
org.apache.commons.configuration2.event.TestXMLConfigurationEvents,13,15
org.apache.commons.configuration2.ex.ConfigurationException,52,116
org.apache.commons.configuration2.ex.ConfigurationRuntimeException,65,154
org.apache.commons.configuration2.ex.ConversionException,53,116
org.apache.commons.configuration2.interpol.ConfigurationInterpolator,491,"2,410"
org.apache.commons.configuration2.interpol.ConstantLookup,135,615
org.apache.commons.configuration2.interpol.DefaultLookups,174,464
org.apache.commons.configuration2.interpol.DummyLookup,30,18
org.apache.commons.configuration2.interpol.EnvironmentLookup,42,22
org.apache.commons.configuration2.interpol.ExprLookup,246,"1,792"
org.apache.commons.configuration2.interpol.ExprLookup.Variable,57,353
org.apache.commons.configuration2.interpol.ExprLookup.Variables,32,116
org.apache.commons.configuration2.interpol.InterpolatorSpecification,99,870
org.apache.commons.configuration2.interpol.InterpolatorSpecification.Builder,165,610
org.apache.commons.configuration2.interpol.StringLookupAdapter,16,62
org.apache.commons.configuration2.interpol.SystemPropertiesLookup,33,31
org.apache.commons.configuration2.interpol.TestConfigurationInterpolator,553,"5,949"
org.apache.commons.configuration2.interpol.TestConstantLookup,118,542
org.apache.commons.configuration2.interpol.TestDummyLookup,17,46
org.apache.commons.configuration2.interpol.TestEnvironmentLookup,40,181
org.apache.commons.configuration2.interpol.TestExprLookup,115,"1,446"
org.apache.commons.configuration2.interpol.TestExprLookup.Utility,16,49
org.apache.commons.configuration2.interpol.TestInterpolatorSpecification,215,"1,777"
org.apache.commons.configuration2.interpol.TestSystemPropertiesLookup,33,153
org.apache.commons.configuration2.io.AbsoluteNameLocationStrategy,34,100
org.apache.commons.configuration2.io.BasePathLocationStrategy,38,93
org.apache.commons.configuration2.io.ClasspathLocationStrategy,26,46
org.apache.commons.configuration2.io.CombinedLocationStrategy,85,225
org.apache.commons.configuration2.io.ConfigurationLogger,204,560
org.apache.commons.configuration2.io.DefaultFileSystem,223,"2,378"
org.apache.commons.configuration2.io.DefaultFileSystem.HttpOutputStream,57,391
org.apache.commons.configuration2.io.FileHandler,"1,387","7,914"
org.apache.commons.configuration2.io.FileHandler.Updater,37,122
org.apache.commons.configuration2.io.FileHandlerListenerAdapter,37,41
org.apache.commons.configuration2.io.FileLocator,191,"1,332"
org.apache.commons.configuration2.io.FileLocator.FileLocatorBuilder,129,390
org.apache.commons.configuration2.io.FileLocatorUtils,602,"3,788"
org.apache.commons.configuration2.io.FileSystem,59,242
org.apache.commons.configuration2.io.FileSystemLocationStrategy,27,43
org.apache.commons.configuration2.io.FileUtils,83,764
org.apache.commons.configuration2.io.HomeDirectoryLocationStrategy,135,453
org.apache.commons.configuration2.io.ProvidedURLLocationStrategy,27,25
org.apache.commons.configuration2.io.TestAbsoluteNameLocationStrategy,64,378
org.apache.commons.configuration2.io.TestBasePathLocationStrategy,80,478
org.apache.commons.configuration2.io.TestClasspathLocationStrategy,56,365
org.apache.commons.configuration2.io.TestCombinedLocationStrategy,187,"1,266"
org.apache.commons.configuration2.io.TestConfigurationLogger,204,"1,673"
org.apache.commons.configuration2.io.TestDefaultFileSystem,43,145
org.apache.commons.configuration2.io.TestFileHandler,"1,376","17,861"
org.apache.commons.configuration2.io.TestFileHandler.FileBasedFileLocatorAwareTestImpl,38,202
org.apache.commons.configuration2.io.TestFileHandler.FileBasedInputStreamSupportTestImpl,20,123
org.apache.commons.configuration2.io.TestFileHandler.FileBasedTestImpl,38,131
org.apache.commons.configuration2.io.TestFileHandler.FileHandlerListenerTestImpl,67,386
org.apache.commons.configuration2.io.TestFileLocator,193,"2,263"
org.apache.commons.configuration2.io.TestFileLocatorUtils,521,"5,166"
org.apache.commons.configuration2.io.TestFileSystemLocationStrategy,39,254
org.apache.commons.configuration2.io.TestHomeDirectoryLocationStrategy,117,997
org.apache.commons.configuration2.io.TestProvidedURLLocationStrategy,40,237
org.apache.commons.configuration2.io.VFSFileSystem,290,"3,992"
org.apache.commons.configuration2.io.VFSFileSystem.VFSURLStreamHandler,17,70
org.apache.commons.configuration2.io.VerifiableOutputStream,8,20
org.apache.commons.configuration2.plist.AbstractTestPListEvents,41,255
org.apache.commons.configuration2.plist.PropertyListConfiguration,398,"6,667"
org.apache.commons.configuration2.plist.PropertyListConfiguration.DateComponentParser,62,267
org.apache.commons.configuration2.plist.PropertyListConfiguration.DateFieldParser,61,427
org.apache.commons.configuration2.plist.PropertyListConfiguration.DateSeparatorParser,36,216
org.apache.commons.configuration2.plist.PropertyListConfiguration.DateTimeZoneParser,36,396
org.apache.commons.configuration2.plist.TestPropertyListConfiguration,342,"5,685"
org.apache.commons.configuration2.plist.TestPropertyListConfigurationEvents,24,95
org.apache.commons.configuration2.plist.TestPropertyListParser,46,842
org.apache.commons.configuration2.plist.TestXMLPropertyListConfiguration,419,"6,684"
org.apache.commons.configuration2.plist.TestXMLPropertyListConfigurationEvents,24,95
org.apache.commons.configuration2.plist.XMLPropertyListConfiguration,374,"7,160"
org.apache.commons.configuration2.plist.XMLPropertyListConfiguration.ArrayNodeBuilder,30,59
org.apache.commons.configuration2.plist.XMLPropertyListConfiguration.PListNodeBuilder,195,940
org.apache.commons.configuration2.plist.XMLPropertyListConfiguration.XMLPropertyListHandler,169,"1,458"
org.apache.commons.configuration2.reloading.AlwaysReloadingDetector,23,25
org.apache.commons.configuration2.reloading.CombinedReloadingController,119,502
org.apache.commons.configuration2.reloading.CombinedReloadingController.MultiReloadingControllerDetector,53,149
