Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"org.apache.commons.collections4.CollectionUtils.selectRejected(Iterable<? extends O>,Predicate<? super O>,R)",1,4,5
"org.apache.commons.collections4.CollectionUtils.size(Object)",8,9,10
"org.apache.commons.collections4.CollectionUtils.sizeIsEmpty(Object)",8,9,9
"org.apache.commons.collections4.CollectionUtils.subtract(Iterable<? extends O>,Iterable<? extends O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.subtract(Iterable<? extends O>,Iterable<? extends O>,Predicate<O>)",1,5,5
"org.apache.commons.collections4.CollectionUtils.synchronizedCollection(Collection<C>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.transform(Collection<C>,Transformer<? super C, ? extends C>)",1,4,5
"org.apache.commons.collections4.CollectionUtils.transformingCollection(Collection<E>,Transformer<? super E, ? extends E>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.union(Iterable<? extends O>,Iterable<? extends O>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.unmodifiableCollection(Collection<? extends C>)",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.addAllForElements()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.addAllForEnumeration()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.addAllForIterable()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.addIgnoreNull()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.assertCollectResult(Collection<Number>)",1,3,3
"org.apache.commons.collections4.CollectionUtilsTest.cardinality()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.cardinalityOfNull()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.collateException1()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.collateException2()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.collect()",1,4,4
"org.apache.commons.collections4.CollectionUtilsTest.containsAll()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.containsAnyInArray()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.containsAnyInCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.countMatches()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.disjunction()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.emptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.emptyIfNull()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.exists()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.extractSingleton()",1,1,4
"org.apache.commons.collections4.CollectionUtilsTest.filter()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.filterInverse()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.filterInverseNullParameters()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.filterNullParameters()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.find()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoCollection()",1,2,2
"org.apache.commons.collections4.CollectionUtilsTest.forAllButLastDoIterator()",1,2,2
"org.apache.commons.collections4.CollectionUtilsTest.forAllDoCollection()",1,3,3
"org.apache.commons.collections4.CollectionUtilsTest.forAllDoFailure()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.forAllDoIterator()",1,3,3
"org.apache.commons.collections4.CollectionUtilsTest.get()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.get1()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getCardinalityMap()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getEnumeration()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getFromEnumeration()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.getFromIterable()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getFromIterator()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.getFromList()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getFromMap()",1,1,3
"org.apache.commons.collections4.CollectionUtilsTest.getFromObject()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getFromObjectArray()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getFromPrimitiveArray()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getIterator()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getNegative()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.getPositiveOutOfBounds()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.intersection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.intersectionUsesMethodEquals()",1,1,4
"org.apache.commons.collections4.CollectionUtilsTest.isEmpty()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.isFull()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.maxSize()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.next(Iterator<T>,T)",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.predicatedCollection()",1,1,3
"org.apache.commons.collections4.CollectionUtilsTest.reverse()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.select()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.selectRejected()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.selectWithOutputCollections()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.setUp()",1,2,2
"org.apache.commons.collections4.CollectionUtilsTest.testCollate()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testCollateIgnoreDuplicates()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testDisjunctionAsSymmetricDifference()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testDisjunctionAsUnionMinusIntersection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithEmptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithNonEmptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEmptyWithNull()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollection2()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionEquator()",2,2,3
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionNullEquator()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionReturnsFalse()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionToSelf()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithEmptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithNonEmptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsNotEmptyWithNull()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsProperSubCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollection2()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testIsSubCollectionOfSelf()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testMatchesAll()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testPermutations()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.testPermutationsWithNullCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testRemoveAll()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.testRemoveAllWithEquator()",1,1,3
"org.apache.commons.collections4.CollectionUtilsTest.testRetainAll()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.testRetainAllWithEquator()",1,1,3
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Array()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Enumeration()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Iterator()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_List()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Map()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Null()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_Other()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.testSizeIsEmpty_PrimitiveArray()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_Array()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_Enumeration()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_Iterator()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_List()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_Map()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_Other()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSize_PrimitiveArray()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSubtract()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSubtractWithPredicate()",1,1,1
"org.apache.commons.collections4.CollectionUtilsTest.testSynchronizedCollection()",1,1,2
"org.apache.commons.collections4.CollectionUtilsTest.testTransformedCollection()",1,1,3
"org.apache.commons.collections4.CollectionUtilsTest.testTransformedCollection_2()",1,1,1
